persilpasifid,nilai,tipehak,luas,tahun,nib,alatukur,nomor,akurasibidang,sample_source,sample_lon,sample_lat,kecamatan_id,kecamatan_nama,kelurahan_id,kelurahan_nama,geometry_hash,dedup_keys,source_key
9DA08B721D88A723E040A8C010015103,,Hak Milik,889,2011,01284,,10143410100092,,Soreang,107.4940133,-7.0644899,320437,Soreang,,,58ddb044c5e629af4ea8e9b26ad6d488,"['nib:01284', 'persilpasifid:9da08b721d88a723e040a8c010015103', 'nomor:10143410100092', 'geometry:58ddb044c5e629af4ea8e9b26ad6d488']",nib:01284
83421FC8E19F2A3BE0530B1D140A9E6D,,Hak Milik,152,2019,01823,Meteran,10143410100343,,Soreang,107.4940133,-7.0652923,320437,Soreang,,,c4a06a3f5f81aac9fdfaaa815d52f5e1,"['nib:01823', 'persilpasifid:83421fc8e19f2a3be0530b1d140a9e6d', 'nomor:10143410100343', 'geometry:c4a06a3f5f81aac9fdfaaa815d52f5e1']",nib:01823
8666A5700D3C6AD4E0530C1D140A135B,,Hak Milik,160,2019,02467,Meteran,10143410100678,,Soreang,107.4932048,-7.0652923,320437,Soreang,,,a7eaf032df9109b43a606beb31d2a7e3,"['nib:02467', 'persilpasifid:8666a5700d3c6ad4e0530c1d140a135b', 'nomor:10143410100678', 'geometry:a7eaf032df9109b43a606beb31d2a7e3']",nib:02467
86669D8A8F406ACAE0530C1D140AC9BC,,Hak Milik,792,2019,02539,Meteran,10143410100720,,Soreang,107.4940133,-7.0620829,320437,Soreang,,,b7cf1fe675e24ba9064b390a86886e16,"['nib:02539', 'persilpasifid:86669d8a8f406acae0530c1d140ac9bc', 'nomor:10143410100720', 'geometry:b7cf1fe675e24ba9064b390a86886e16']",nib:02539
0D1B4F31C498242BE063B516140ADA9A,,Kosong,1240,,,,,0.5,Soreang,107.4948218,-7.036407,320437,Soreang,,,0274c458d7c65c3ec9ae1963b71d3c42,"['persilpasifid:0d1b4f31c498242be063b516140ada9a', 'geometry:0274c458d7c65c3ec9ae1963b71d3c42']",persilpasifid:0d1b4f31c498242be063b516140ada9a
866621748E450429E0530C1D140AD21F,,Hak Milik,2431,2019,02257,Meteran,10143410101776,,Soreang,107.4948218,-7.0644899,320437,Soreang,,,7b01d99cf31662edfae23ff0c86803c7,"['nib:02257', 'persilpasifid:866621748e450429e0530c1d140ad21f', 'nomor:10143410101776', 'geometry:7b01d99cf31662edfae23ff0c86803c7']",nib:02257
8B095CFAA64B08BAE0530C1D140A7069,,Hak Milik,4118,2019,03122,Meteran,10143410101673,,Soreang,107.4956303,-7.0652923,320437,Soreang,,,e8c7444a5e2a51022fb4790b718f4d38,"['nib:03122', 'persilpasifid:8b095cfaa64b08bae0530c1d140a7069', 'nomor:10143410101673', 'geometry:e8c7444a5e2a51022fb4790b718f4d38']",nib:03122
0BBD60BED275C5B5E063B516140A9112,,Hak Milik,301,2023,,CORS,10143402101759,0.5,Soreang,107.4948218,-7.0356046,320437,Soreang,,,249511853db0e0da04e7bc74fdf7f084,"['persilpasifid:0bbd60bed275c5b5e063b516140a9112', 'nomor:10143402101759', 'geometry:249511853db0e0da04e7bc74fdf7f084']",persilpasifid:0bbd60bed275c5b5e063b516140a9112
8B0D7D8897AE1D6EE0530C1D140A13E7,,Hak Milik,532,2019,03229,Meteran,10143410101475,,Soreang,107.4948218,-7.0628852,320437,Soreang,,,0750424b3a443c640f165933c42e86e1,"['nib:03229', 'persilpasifid:8b0d7d8897ae1d6ee0530c1d140a13e7', 'nomor:10143410101475', 'geometry:0750424b3a443c640f165933c42e86e1']",nib:03229
0D1B4F30A7C6F716E063B416140AEDAC,,Kosong,1562,,,,,0.5,Soreang,107.4956303,-7.0356046,320437,Soreang,,,31e48c4f80816a8aa80f5b030a017879,"['persilpasifid:0d1b4f30a7c6f716e063b416140aedac', 'geometry:31e48c4f80816a8aa80f5b030a017879']",persilpasifid:0d1b4f30a7c6f716e063b416140aedac
8912A6591F89DDA0E0530B1D140AC22E,,Hak Milik,479,2019,02939,Meteran,10143410100996,,Soreang,107.4956303,-7.0620829,320437,Soreang,,,35250739cc1c74082a535f0bbfdaa2c2,"['nib:02939', 'persilpasifid:8912a6591f89dda0e0530b1d140ac22e', 'nomor:10143410100996', 'geometry:35250739cc1c74082a535f0bbfdaa2c2']",nib:02939
d69311a0054941b89489622cd4cfdef6,,Hak Milik,7050,1986,01345,,10143410100026,,Soreang,107.4956303,-7.0636876,320437,Soreang,,,7b45061166924fb51ca9684a942bec96,"['nib:01345', 'persilpasifid:d69311a0054941b89489622cd4cfdef6', 'nomor:10143410100026', 'geometry:7b45061166924fb51ca9684a942bec96']",nib:01345
8341F7B698407344E0530C1D140A6498,,Hak Milik,2272,2019,01871,Meteran,10143410101710,,Soreang,107.4964387,-7.066897,320437,Soreang,,,fc2b97ab2965027cb3304ecef1350e5d,"['nib:01871', 'persilpasifid:8341f7b698407344e0530c1d140a6498', 'nomor:10143410101710', 'geometry:fc2b97ab2965027cb3304ecef1350e5d']",nib:01871
E9A42E795B4A1516E0530B1D140AFD1C,,Hak Pakai,4462,2022,,,10143402400007,,Soreang,107.4956303,-7.0396165,320437,Soreang,,,ab071d91a29a5618ceb84329c4137dde,"['persilpasifid:e9a42e795b4a1516e0530b1d140afd1c', 'nomor:10143402400007', 'geometry:ab071d91a29a5618ceb84329c4137dde']",persilpasifid:e9a42e795b4a1516e0530b1d140afd1c
0D1B3D08A645A8ECE063B516140AA798,,Kosong,592,,,,,0.5,Soreang,107.4956303,-7.036407,320437,Soreang,,,e24b70f089adf7e1c842bf1f49615553,"['persilpasifid:0d1b3d08a645a8ece063b516140aa798', 'geometry:e24b70f089adf7e1c842bf1f49615553']",persilpasifid:0d1b3d08a645a8ece063b516140aa798
a00ad321aec84b28ac63d184becda718,,Hak Milik,2250,1978,01320,,10143410100011,,Soreang,107.4948218,-7.0652923,320437,Soreang,,,7742a7a20311dab2d2d86e366a879fbf,"['nib:01320', 'persilpasifid:a00ad321aec84b28ac63d184becda718', 'nomor:10143410100011', 'geometry:7742a7a20311dab2d2d86e366a879fbf']",nib:01320
